Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_MTN_100_SQ-110,TRF_MTN_300_SQ-110,TRF_MTN_700_SQ-110,TRF_MTN_1300_SQ-110
2019/08/25 20:00,3.843038,-3.060606,-3.060606,-3.38935,
2019/08/25 20:15,3.514293,-2.896233,-3.060606,-3.38935,
2019/08/25 20:30,4.500528,-2.896233,-3.224978,-3.224978,
2019/08/25 20:45,4.171783,-3.060606,-3.224978,-3.718095,
2019/08/25 21:00,4.336156,-2.731861,-3.38935,-3.060606,
2019/08/25 21:15,4.171783,-2.403116,-3.224978,-3.38935,
2019/08/25 21:30,4.336156,-3.060606,-3.38935,-3.718095,
2019/08/25 21:45,4.664901,-3.224978,-3.224978,-3.38935,
2019/08/25 22:00,4.171783,-3.553723,-3.224978,-3.38935,
2019/08/25 22:15,4.500528,-2.567488,-3.718095,-3.718095,
2019/08/25 22:30,4.500528,-3.060606,-3.553723,-3.882468,
2019/08/25 22:45,4.500528,-2.896233,-2.896233,-3.718095,
2019/08/25 23:00,4.664901,-3.224978,-3.38935,-3.553723,
2019/08/25 23:15,4.336156,-3.38935,-2.731861,-3.718095,
2019/08/25 23:30,4.664901,-3.060606,-3.224978,-3.882468,
2019/08/25 23:45,4.500528,-3.060606,-3.553723,-3.38935,
2019/08/26 00:00,4.500528,-2.731861,-3.224978,-3.553723,
2019/08/26 00:15,4.500528,-3.224978,-3.224978,-3.38935,
2019/08/26 00:30,4.336156,-3.224978,-3.553723,-3.553723,
2019/08/26 00:45,4.171783,-3.553723,-3.224978,-3.553723,
2019/08/26 01:00,4.500528,-2.896233,-3.224978,-3.553723,
2019/08/26 01:15,4.007411,-3.224978,-3.224978,-3.224978,
2019/08/26 01:30,4.500528,-2.403116,-3.553723,-3.224978,
2019/08/26 01:45,4.993646,-2.567488,-3.224978,-3.718095,
2019/08/26 02:00,4.336156,-3.224978,-2.731861,-4.211213,
2019/08/26 02:15,4.664901,-2.896233,-3.060606,-3.553723,
2019/08/26 02:30,4.336156,-3.060606,-3.38935,-3.553723,
2019/08/26 02:45,4.829273,-3.060606,-3.553723,-3.718095,
2019/08/26 03:00,4.336156,-3.060606,-2.731861,-3.882468,
2019/08/26 03:15,4.500528,-3.224978,-2.731861,-3.882468,
2019/08/26 03:30,4.336156,-3.38935,-3.224978,-2.896233,
2019/08/26 03:45,4.500528,-2.567488,-3.224978,-3.224978,
2019/08/26 04:00,4.500528,-3.224978,-3.224978,-3.553723,
2019/08/26 04:15,4.829273,-3.224978,-3.224978,-3.718095,
2019/08/26 04:30,4.829273,-3.060606,-3.882468,-3.060606,
2019/08/26 04:45,4.500528,-2.896233,-3.060606,-3.718095,
2019/08/26 05:00,4.664901,-3.224978,-3.060606,-3.553723,
2019/08/26 05:15,4.829273,-3.060606,-3.224978,-3.224978,
2019/08/26 05:30,4.500528,-2.896233,-3.060606,-3.224978,
2019/08/26 05:45,4.500528,-2.567488,-1.909998,-2.567488,
2019/08/26 06:00,6.144253,0.226844,3.021176,4.993646,
2019/08/26 06:15,9.92482,8.281095,13.869759,20.773403,
2019/08/26 06:30,16.006602,20.609031,32.772594,64.332109,
2019/08/26 06:45,19.622796,28.992027,48.387979,78.468142,
2019/08/26 07:00,24.225225,38.854376,67.783931,110.685147,
2019/08/26 07:15,23.89648,38.854376,68.770166,103.452758,
2019/08/26 07:30,32.608222,56.770975,115.123204,190.57017,
2019/08/26 07:45,38.196886,68.277049,107.726443,251.881103,
2019/08/26 08:00,46.415509,90.30296,133.039804,251.552358,
2019/08/26 08:15,56.44223,109.205795,204.706203,379.762889,
2019/08/26 08:30,75.345065,485.290018,180.050332,381.570986,
2019/08/26 08:45,100.494054,291.987987,156.216323,716.56209,
2019/08/26 09:00,170.352356,202.240616,192.378267,375.489204,
2019/08/26 09:15,131.231707,238.566933,188.926445,336.368555,
2019/08/26 09:30,122.355593,206.843045,280.646286,1032.321614,
2019/08/26 09:45,632.732128,206.021183,599.364515,322.232523,
2019/08/26 10:00,175.119157,760.778286,854.306224,335.217948,
2019/08/26 10:15,116.931301,630.430913,1091.495705,384.529691,
2019/08/26 10:30,118.575026,1071.771008,1068.154814,423.485967,
2019/08/26 10:45,170.516728,711.795288,798.9127,519.97261,
2019/08/26 11:00,601.172613,1181.243077,571.256822,1225.623645,
2019/08/26 11:15,693.221199,1333.780734,392.912687,1564.395316,
2019/08/26 11:30,347.545884,813.377478,1305.015551,1580.832564,
2019/08/26 11:45,939.779911,1147.711092,752.888407,1537.931348,
2019/08/26 12:00,133.861666,1483.524058,1448.512721,1398.214744,
2019/08/26 12:15,523.424432,1460.840657,1408.077092,1327.698952,
2019/08/26 12:30,169.366121,1264.086804,953.587199,1162.997732,
2019/08/26 12:45,133.204176,1110.39854,443.868154,543.970991,
2019/08/26 13:00,118.410653,771.298124,1240.252795,1444.074664,
2019/08/26 13:15,114.465714,1098.070604,416.253578,1537.602603,
2019/08/26 13:30,93.59041,1054.676271,1224.966155,478.550746,
2019/08/26 13:45,95.727252,650.319983,739.738609,1454.594503,
2019/08/26 14:00,78.632515,1071.442264,1369.778306,1426.815554,
2019/08/26 14:15,73.372595,214.732924,797.926465,1355.149155,
2019/08/26 14:30,71.235753,279.988796,1188.311093,1258.169395,
2019/08/26 14:45,68.277049,489.234957,1154.943481,1144.91676,
2019/08/26 15:00,59.400935,239.553168,1022.459266,758.805816,
2019/08/26 15:15,54.798506,259.770982,1019.664934,329.793656,
2019/08/26 15:30,51.182311,161.147497,315.986368,311.055194,
2019/08/26 15:45,49.702959,157.860047,486.11188,985.639832,
2019/08/26 16:00,50.853566,219.992843,811.405008,896.714323,
2019/08/26 16:15,46.579882,143.39527,345.573414,759.463306,
2019/08/26 16:30,37.539396,109.863285,260.757217,254.511063,
2019/08/26 16:45,38.196886,103.781503,253.360455,516.027671,
2019/08/26 17:00,39.511865,101.480289,210.952357,589.337794,
2019/08/26 17:15,33.430084,81.098102,152.764501,356.421997,
2019/08/26 17:30,24.718343,54.305388,120.547496,192.378267,
2019/08/26 17:45,21.266521,44.278667,104.274621,134.683529,
2019/08/26 18:00,16.664091,31.950732,60.058425,76.166927,
2019/08/26 18:15,21.430893,41.484335,119.068143,107.56207,
2019/08/26 18:30,14.198504,25.047088,47.730489,63.017129,
2019/08/26 18:45,6.801743,7.787978,15.020367,20.115913,
2019/08/26 19:00,3.843038,-1.581253,0.226844,0.226844,
2019/08/26 19:15,3.185549,-3.553723,-3.060606,-3.060606,
2019/08/26 19:30,3.021176,-3.224978,-2.896233,-3.060606,
2019/08/26 19:45,4.007411,-3.060606,-3.38935,-3.718095,
2019/08/26 20:00,4.336156,-3.553723,-2.731861,-3.38935,
2019/08/26 20:15,4.171783,-2.896233,-3.224978,-4.04684,
2019/08/26 20:30,4.500528,-3.224978,-3.224978,-3.38935,
2019/08/26 20:45,4.007411,-2.731861,-3.718095,-3.718095,
2019/08/26 21:00,4.336156,-3.060606,-3.553723,-3.224978,
2019/08/26 21:15,3.843038,-3.224978,-3.224978,-3.38935,
2019/08/26 21:30,4.336156,-3.224978,-3.060606,-3.718095,
2019/08/26 21:45,4.171783,-3.060606,-3.38935,-3.718095,
2019/08/26 22:00,4.171783,-2.567488,-3.224978,-3.553723,
2019/08/26 22:15,3.843038,-3.224978,-3.38935,-3.718095,
2019/08/26 22:30,4.336156,-3.060606,-3.224978,-3.718095,
2019/08/26 22:45,4.171783,-3.38935,-3.38935,-3.553723,
2019/08/26 23:00,4.336156,-3.553723,-3.224978,-3.718095,
2019/08/26 23:15,4.336156,-3.224978,-3.060606,-3.553723,
2019/08/26 23:30,4.336156,-3.38935,-2.896233,-3.882468,
2019/08/26 23:45,4.336156,-2.567488,-3.38935,-3.718095,
2019/08/27 00:00,4.007411,-3.224978,-3.38935,-3.718095,
2019/08/27 00:15,4.171783,-3.060606,-3.553723,-3.718095,
2019/08/27 00:30,4.336156,-2.896233,-2.896233,-3.718095,
2019/08/27 00:45,4.500528,-2.403116,-3.060606,-3.882468,
2019/08/27 01:00,4.007411,-3.553723,-3.060606,-3.224978,
2019/08/27 01:15,4.336156,-2.896233,-3.224978,-3.553723,
2019/08/27 01:30,3.843038,-3.718095,-2.896233,-4.375585,
2019/08/27 01:45,4.171783,-3.060606,-2.896233,-3.882468,
2019/08/27 02:00,4.171783,-2.896233,-3.060606,-3.718095,
2019/08/27 02:15,4.664901,-3.060606,-3.060606,-3.718095,
2019/08/27 02:30,4.336156,-3.38935,-3.224978,-3.553723,
2019/08/27 02:45,4.336156,-3.224978,-3.060606,-3.718095,
2019/08/27 03:00,4.500528,-2.896233,-2.896233,-4.04684,
2019/08/27 03:15,4.336156,-2.896233,-2.567488,-4.04684,
2019/08/27 03:30,4.007411,-3.224978,-3.060606,-4.04684,
2019/08/27 03:45,4.336156,-3.553723,-2.896233,-3.38935,
2019/08/27 04:00,4.500528,-3.553723,-3.224978,-3.224978,
2019/08/27 04:15,4.336156,-3.224978,-3.224978,-3.553723,
2019/08/27 04:30,4.336156,-3.553723,-3.224978,-3.553723,
2019/08/27 04:45,4.336156,-2.896233,-3.224978,-3.718095,
2019/08/27 05:00,4.336156,-2.896233,-2.896233,-3.882468,
2019/08/27 05:15,4.500528,-2.567488,-3.553723,-3.553723,
2019/08/27 05:30,4.500528,-3.060606,-3.224978,-3.718095,
2019/08/27 05:45,4.500528,-2.567488,-2.567488,-2.403116,
2019/08/27 06:00,6.472998,1.377451,2.692431,5.158018,
2019/08/27 06:15,10.253565,10.089192,16.499719,25.375833,
2019/08/27 06:30,14.691622,19.622796,32.279477,79.783122,
2019/08/27 06:45,18.965306,28.992027,46.415509,76.002555,
2019/08/27 07:00,22.581501,36.224416,62.852757,103.945876,
2019/08/27 07:15,25.21146,43.621177,78.30377,139.943448,
2019/08/27 07:30,29.485145,52.004174,94.412272,206.843045,
2019/08/27 07:45,34.909436,62.688384,105.096483,238.40256,
2019/08/27 08:00,42.634943,80.111867,111.50701,186.789603,
2019/08/27 08:15,51.182311,101.480289,256.483532,398.501351,
2019/08/27 08:30,68.277049,435.813903,215.719159,261.085962,
2019/08/27 08:45,100.000936,339.32726,149.970169,711.302171,
2019/08/27 09:00,114.630087,162.955594,169.859238,272.26329,
2019/08/27 09:15,109.370167,273.907015,206.185555,280.810659,
2019/08/27 09:30,125.47867,220.157216,247.278674,988.269791,
2019/08/27 09:45,727.410673,283.276246,593.940224,319.931308,
2019/08/27 10:00,269.962075,766.695695,756.175857,328.643049,
2019/08/27 10:15,111.671382,938.793676,1124.041456,365.955601,
2019/08/27 10:30,115.616321,628.294071,1046.62202,406.555602,
2019/08/27 10:45,210.294867,1047.27951,523.095687,691.084356,
2019/08/27 11:00,1143.60178,989.584771,992.543476,1255.375063,
2019/08/27 11:15,314.507016,773.270594,385.022808,1537.109485,
2019/08/27 11:30,570.106215,740.724844,1324.90462,1597.598556,
2019/08/27 11:45,1171.873846,1453.279523,507.151557,1557.820417,
2019/08/27 12:00,126.958022,1488.619605,1460.676284,1334.931341,
2019/08/27 12:15,764.887598,1514.097339,1426.48681,1383.092476,
2019/08/27 12:30,154.572598,1198.666559,540.190424,1170.887611,
2019/08/27 12:45,116.602556,530.656821,402.939408,515.370181,
2019/08/27 13:00,105.753973,349.518353,1432.732964,1421.720008,
2019/08/27 13:15,96.220369,1336.739438,369.407423,1512.782359,
2019/08/27 13:30,89.316725,1287.592068,1317.014741,477.728884,
2019/08/27 13:45,83.728061,594.597714,1288.742675,1479.250374,
2019/08/27 14:00,76.166927,1145.902995,1422.706243,1457.71758,
2019/08/27 14:15,23.732108,62.688384,100.987171,122.026848,
2019/08/27 14:30,69.920773,415.596088,1221.514333,1305.344295,
2019/08/27 14:45,72.38636,322.232523,1109.576678,1236.965346,
2019/08/27 15:00,57.921583,285.577461,1091.166961,790.036586,
2019/08/27 15:15,53.647898,573.722409,935.013109,329.793656,
2019/08/27 15:30,48.716724,161.311869,326.506207,323.38313,
2019/08/27 15:45,45.75802,143.724015,448.799328,976.599345,
2019/08/27 16:00,43.949922,154.079481,835.896507,883.89327,
2019/08/27 16:15,47.072999,138.464095,324.862482,728.232536,
2019/08/27 16:30,42.306198,134.519156,348.367746,304.80904,
2019/08/27 16:45,39.511865,105.5896,272.756408,661.168566,
2019/08/27 17:00,34.745064,87.508628,188.268955,598.049536,
2019/08/27 17:15,32.115104,78.468142,158.846282,460.634146,
2019/08/27 17:30,28.827655,67.126441,199.610656,324.204992,
2019/08/27 17:45,25.21146,55.291623,169.694866,161.476242,
2019/08/27 18:00,17.321581,34.251946,116.273811,85.700531,
2019/08/27 18:15,10.089192,16.664091,28.992027,37.868141,
2019/08/27 18:30,10.911055,17.157209,33.923201,46.251137,
