Please note that (-9999) indicates a null value
Radiation, incoming PAR (PAR) [umol/m^2 s]

DateTime,TRF_NETower_100_SQ-110,TRF_NETower_300_SQ-110,TRF_NETower_700_SQ-110,TRF_NETower_1300_SQ-110,TRF_NETower_2000_SQ-110
2019/08/26 02:30,0,0,0,0,0,
2019/08/26 02:45,0,0,0,0,0,
2019/08/26 03:00,0,0,0,0,0,
2019/08/26 03:15,0,0,0,0,0,
2019/08/26 03:30,0,0,0,0,0,
2019/08/26 03:45,0,0,0,0,0,
2019/08/26 04:00,0,0,0,0,0,
2019/08/26 04:15,0,0,0,0,0,
2019/08/26 04:30,0,0,0,0,0,
2019/08/26 04:45,0,0,0,0,0,
2019/08/26 05:00,0,0,0,0,0,
2019/08/26 05:15,0,0,0,0,0,
2019/08/26 05:30,0,0,0,0,0,
2019/08/26 05:45,0,0,0,0,0,
2019/08/26 06:00,0,0,0,1.25,3.8600000000000003,
2019/08/26 06:15,1.25,2.27,3.29,4.77,13.055000000000001,
2019/08/26 06:30,4.085,4.995,6.8100000000000005,11.690000000000001,31.555,
2019/08/26 06:45,6.8100000000000005,8.855,11.805000000000001,19.295,62.9,
2019/08/26 07:00,8.74,13.395,15.095,22.134999999999998,93.55000000000001,
2019/08/26 07:15,9.535,15.440000000000001,16.12,24.18,105,
2019/08/26 07:30,12.26,17.03,18.845,31.105,344.54999999999995,
2019/08/26 07:45,14.075,20.435,20.435,42.25,524.5,
2019/08/26 08:00,15.780000000000001,20.435,20.884999999999998,46.3,627,
2019/08/26 08:15,17.025,25.655,22.475,48.8,697,
2019/08/26 08:30,19.07,26.335,23.725,53.099999999999994,786,
2019/08/26 08:45,20.43,24.744999999999997,26.335,62.199999999999996,851,
2019/08/26 09:00,22.02,27.244999999999997,32.24,86.5,955,
2019/08/26 09:15,20.659999999999997,25.880000000000003,35.305,116.7,985.5,
2019/08/26 09:30,31.105,25.425,37.46,133.7,1065,
2019/08/26 09:45,23.610000000000003,30.195,46.449999999999996,72.9,983,
2019/08/26 10:00,26.110000000000003,31.33,47.45,113.5,583,
2019/08/26 10:15,26.45,46.900000000000006,71.5,172.75,421,
2019/08/26 10:30,30.65,36.44,48.35,108.94999999999999,414,
2019/08/26 10:45,35.644999999999996,36.55,123.75,103.05,415.5,
2019/08/26 11:00,39.16,45.4,63.7,238.15,388.45,
2019/08/26 11:15,39.73,49.25,59.25,118.85,333.84999999999997,
2019/08/26 11:30,45.85,72.30000000000001,61.849999999999994,113.65,244.75,
2019/08/26 11:45,65.14999999999999,64.7,68.35,128.7,176.85,
2019/08/26 12:00,60.15,75.14999999999999,87.65,165.04999999999998,147.10000000000002,
2019/08/26 12:15,83.10000000000001,81.30000000000001,113.4,203.85000000000002,135.2,
2019/08/26 12:30,105,123.6,323.95000000000005,260.5,134.75,
2019/08/26 12:45,192.3,452,495.5,369.35,129.2,
2019/08/26 13:00,136.1,335.90000000000003,444.5,177.10000000000002,116.89999999999999,
2019/08/26 13:15,162.89999999999998,201.95,389.15,281.05,102.5,
2019/08/26 13:30,268.09999999999997,382.1,404.5,297.85,95.45,
2019/08/26 13:45,518,454.5,337.70000000000005,316.95,72.2,
2019/08/26 14:00,452,700.5,861.5,370.85,68.35,
2019/08/26 14:15,638.5,705,420,474.5,61.5,
2019/08/26 14:30,448,653,750,610.5,52,
2019/08/26 14:45,96.5,228.5,810.5,940,46.75,
2019/08/26 15:00,66.39999999999999,93.55000000000001,658,811.5,44.25,
2019/08/26 15:15,55.949999999999996,75.85,347.70000000000005,579.5,44.5,
2019/08/26 15:30,61.75,54.85,136.54999999999998,369.7,45.199999999999996,
2019/08/26 15:45,33.375,52.45,98.4,472.5,40.85,
2019/08/26 16:00,27.130000000000003,38.14,85.8,381.85,40.85,
2019/08/26 16:15,24.064999999999998,32.92,71.3,521,39.39,
2019/08/26 16:30,20.545,26.560000000000002,57,360.75,37.46,
2019/08/26 16:45,20.43,23.155,47.35,157.20000000000002,38.935,
2019/08/26 17:00,20.43,21.68,46.1,135.9,71.5,
2019/08/26 17:15,16.685000000000002,20.43,35.074999999999996,116.44999999999999,38.82,
2019/08/26 17:30,11.690000000000001,15.665,23.384999999999998,97.75,31.785,
2019/08/26 17:45,8.4,10.329999999999998,19.07,81.75,29.4,
2019/08/26 18:00,7.1499999999999995,9.875,17.595,59.699999999999996,39.73,
2019/08/26 18:15,8.97,9.76,17.48,58.099999999999994,45.4,
2019/08/26 18:30,6.585,8.175,13.395,30.875,38.935,
2019/08/26 18:45,3.4050000000000002,4.54,7.039999999999999,15.665,17.255,
2019/08/26 19:00,0.45499999999999996,1.02,2.155,4.655,4.425,
2019/08/26 19:15,0,0,0,0.11499999999999999,0,
2019/08/26 19:30,0,0,0,0,0,
2019/08/26 19:45,0,0,0,0,0,
2019/08/26 20:00,0,0,0,0,0,
2019/08/26 20:15,0,0,0,0,0,
2019/08/26 20:30,0,0,0,0,0,
2019/08/26 20:45,0,0,0,0,0,
2019/08/26 21:00,0,0,0,0,0,
2019/08/26 21:15,0,0,0,0,0,
2019/08/26 21:30,0,0,0,0,0,
2019/08/26 21:45,0,0,0,0,0,
2019/08/26 22:00,0,0,0,0,0,
2019/08/26 22:15,0,0,0,0,0,
2019/08/26 22:30,0,0,0,0,0,
2019/08/26 22:45,0,0,0,0,0,
2019/08/26 23:00,0,0,0,0,0,
2019/08/26 23:15,0,0,0,0,0,
2019/08/26 23:30,0,0,0,0,0,
2019/08/26 23:45,0,0,0,0,0,
2019/08/27 00:00,0,0,0,0,0,
2019/08/27 00:15,0,0,0,0,0,
2019/08/27 00:30,0,0,0,0,0,
2019/08/27 00:45,0,0,0,0,0,
2019/08/27 01:00,0,0,0,0,0,
2019/08/27 01:15,0,0,0,0,0,
2019/08/27 01:30,0,0,0,0,0,
2019/08/27 01:45,0,0,0,0,0,
2019/08/27 02:00,0,0,0,0,0,
2019/08/27 02:15,0,0,0,0,0,
2019/08/27 02:30,0,0,0,0,0,
2019/08/27 02:45,0,0,0,0,0,
2019/08/27 03:00,0,0,0,0,0,
2019/08/27 03:15,0,0,0,0,0,
2019/08/27 03:30,0,0,0,0,0,
2019/08/27 03:45,0,0,0,0,0,
2019/08/27 04:00,0,0,0,0,0,
2019/08/27 04:15,0,0,0,0,0,
2019/08/27 04:30,0,0,0,0,0,
2019/08/27 04:45,0,0,0,0,0,
2019/08/27 05:00,0,0,0,0,0,
2019/08/27 05:15,0,0,0,0,0,
2019/08/27 05:30,0,0,0,0,0,
2019/08/27 05:45,0,0,0,0,0,
