Please note that (-9999) indicates a null value
Temperature (AirTempC) [degC]

DateTime,TRF_MTN_100_HMP45,TRF_MTN_300_HMP45,TRF_MTN_700_HMP45,TRF_MTN_1300_HMP45
2019/08/25 21:00,27.906806,27.223017,27.042207,27.239454,
2019/08/25 21:15,27.67011,27.262466,26.927146,26.874547,
2019/08/25 21:30,27.019195,26.775924,26.483341,26.552377,
2019/08/25 21:45,26.996183,26.486628,26.309106,26.272944,
2019/08/25 22:00,26.825235,26.463616,26.253219,26.18747,
2019/08/25 22:15,26.766061,25.990223,25.825851,25.881737,
2019/08/25 22:30,26.424167,26.164458,25.792976,25.622029,
2019/08/25 22:45,26.397867,25.855438,25.766677,25.786401,
2019/08/25 23:00,26.457041,25.668053,25.648328,25.52998,
2019/08/25 23:15,25.815988,25.428069,25.40177,25.299859,
2019/08/25 23:30,25.990223,25.457656,25.138774,25.082887,
2019/08/25 23:45,25.980361,25.243972,25.38862,25.151924,
2019/08/26 00:00,25.829138,25.204523,25.398482,25.0796,
2019/08/26 00:15,25.405057,25.174936,24.990839,24.829754,
2019/08/26 00:30,25.428069,25.276847,25.003988,24.879065,
2019/08/26 00:45,25.345883,24.862628,24.793592,24.787017,
2019/08/26 01:00,25.503681,24.987551,24.869203,24.750855,
2019/08/26 01:15,25.230822,24.711405,24.586482,24.540458,
2019/08/26 01:30,25.073025,24.655519,24.88564,24.491146,
2019/08/26 01:45,25.319584,24.777154,24.780442,24.540458,
2019/08/26 02:00,25.010563,24.530596,24.494434,24.662094,
2019/08/26 02:15,25.086175,24.514158,24.570045,24.392523,
2019/08/26 02:30,25.165073,24.73113,24.402385,24.333349,
2019/08/26 02:45,25.007276,24.632507,24.543745,24.172264,
2019/08/26 03:00,24.668669,24.60292,24.40896,24.270887,
2019/08/26 03:15,25.030288,24.737705,24.353073,24.293899,
2019/08/26 03:30,24.737705,24.234725,24.491146,24.152539,
2019/08/26 03:45,24.921802,24.362936,24.284037,24.175551,
2019/08/26 04:00,24.58977,24.234725,24.06049,24.22815,
2019/08/26 04:15,24.803454,24.139389,23.94543,23.836944,
2019/08/26 04:30,24.514158,23.952005,23.902693,23.899405,
2019/08/26 04:45,24.491146,23.978304,23.948717,23.91913,
2019/08/26 05:00,24.264312,23.873106,23.876393,23.715308,
2019/08/26 05:15,24.307049,23.971729,24.017754,23.689009,
2019/08/26 05:30,24.38266,23.942142,23.761332,23.735033,
2019/08/26 05:45,24.172264,23.965154,23.73832,23.669284,
2019/08/26 06:00,24.103227,23.817219,23.4293,23.534498,
2019/08/26 06:15,24.231438,23.873106,23.619972,23.531211,
2019/08/26 06:30,23.975017,23.524636,23.281365,23.649559,
2019/08/26 06:45,24.011179,23.495049,23.662709,24.159114,
2019/08/26 07:00,24.671956,23.863243,24.320199,24.810029,
2019/08/26 07:15,24.856053,24.451697,25.309721,25.552992,
2019/08/26 07:30,24.957964,24.88564,26.092134,26.473478,
2019/08/26 07:45,25.263697,25.24726,27.075082,27.472863,
2019/08/26 08:00,25.602304,25.516831,27.923244,28.189527,
2019/08/26 08:15,25.806126,26.36828,28.784555,29.215211,
2019/08/26 08:30,26.384717,26.983033,29.353284,30.115972,
2019/08/26 08:45,27.048782,28.13364,29.892426,31.207406,
2019/08/26 09:00,27.801608,28.169802,30.530191,32.634159,
2019/08/26 09:15,28.761543,28.708944,31.08577,34.126661,
2019/08/26 09:30,28.97194,29.534094,31.628199,35.444928,
2019/08/26 09:45,28.991665,30.332944,31.979956,36.713884,
2019/08/26 10:00,29.714904,30.7899,32.446774,37.732993,
2019/08/26 10:15,30.122547,31.733398,33.051665,38.209673,
2019/08/26 10:30,30.75045,32.016118,33.334385,38.676491,
2019/08/26 10:45,31.503276,32.739357,34.028037,39.560815,
2019/08/26 11:00,32.335001,33.383697,34.379794,40.076944,
2019/08/26 11:15,33.038515,33.758466,34.52773,40.583212,
2019/08/26 11:30,33.893252,34.363357,34.761139,41.168378,
2019/08/26 11:45,34.16611,34.116798,35.237819,41.914629,
2019/08/26 12:00,34.425819,34.721689,35.938045,42.762791,
2019/08/26 12:15,34.912361,34.830175,36.191179,44.6202,
2019/08/26 12:30,34.945236,35.250968,36.552798,45.458499,
2019/08/26 12:45,34.882774,35.691487,36.878256,45.583422,
2019/08/26 13:00,34.843325,35.947908,37.072216,45.415762,
2019/08/26 13:15,35.260831,35.98407,37.42726,45.359876,
2019/08/26 13:30,35.234531,36.020232,37.111665,45.540685,
2019/08/26 13:45,34.228572,35.645462,36.704021,44.731973,
2019/08/26 14:00,33.919551,35.398904,36.664572,44.893058,
2019/08/26 14:15,33.975438,35.875584,36.565948,45.839843,
2019/08/26 14:30,33.742029,35.681624,36.552798,46.033803,
2019/08/26 14:45,33.607244,35.527114,36.904556,46.240912,
2019/08/26 15:00,33.584232,35.533689,36.904556,45.790532,
2019/08/26 15:15,33.363972,35.421916,36.822369,45.3796,
2019/08/26 15:30,33.183163,35.250968,36.61526,43.94956,
2019/08/26 15:45,32.752507,35.244394,36.270078,43.564928,
2019/08/26 16:00,32.821543,34.583616,36.378564,42.759503,
2019/08/26 16:15,32.226515,34.672377,35.852572,42.9436,
2019/08/26 16:30,32.390887,34.041187,35.385754,42.01654,
2019/08/26 16:45,31.516426,32.979341,34.711827,40.221592,
2019/08/26 17:00,31.000296,32.23309,34.208847,39.942159,
2019/08/26 17:15,30.293495,31.546013,33.419859,38.890175,
2019/08/26 17:30,30.625527,31.509851,32.463211,37.841479,
2019/08/26 17:45,30.90496,32.009543,32.496086,36.743471,
2019/08/26 18:00,31.358628,31.966806,32.315276,35.744086,
2019/08/26 18:15,31.246855,32.058855,32.588134,35.826272,
2019/08/26 18:30,31.5756,32.170628,32.476361,36.056394,
2019/08/26 18:45,31.398078,31.723535,31.707098,34.879487,
2019/08/26 19:00,31.348766,31.115357,31.289592,33.538207,
2019/08/26 19:15,30.780037,30.451292,30.664976,32.025981,
2019/08/26 19:30,30.559778,30.194871,29.954887,31.181106,
2019/08/26 19:45,30.444717,29.9516,29.78394,30.457867,
2019/08/26 20:00,29.843114,29.599843,29.185624,29.672167,
2019/08/26 20:15,29.379584,28.909478,28.682644,29.004814,
2019/08/26 20:30,29.356572,28.784555,28.514984,28.669495,
2019/08/26 20:45,29.021252,28.472248,28.251988,28.380199,
2019/08/26 21:00,28.659632,28.373624,27.844345,27.860782,
2019/08/26 21:15,28.422936,28.225689,27.821333,27.525462,
2019/08/26 21:30,28.077754,27.702984,27.479438,27.341365,
2019/08/26 21:45,27.910094,27.272329,27.111244,27.150693,
2019/08/26 22:00,27.847632,27.127681,27.130968,26.766061,
2019/08/26 22:15,27.509025,27.065219,26.963308,26.792361,
2019/08/26 22:30,27.18028,26.867972,26.516215,26.743049,
2019/08/26 22:45,26.887697,26.463616,26.434029,26.388005,
2019/08/26 23:00,27.048782,26.332118,26.269656,26.434029,
2019/08/26 23:15,26.785786,26.407729,26.190758,25.862013,
2019/08/26 23:30,26.854822,26.315681,25.799551,25.957349,
2019/08/26 23:45,26.476766,25.940912,25.789689,25.822563,
2019/08/27 00:00,26.427454,26.203907,26.052685,25.815988,
2019/08/27 00:15,26.506353,25.894887,25.779826,25.608879,
2019/08/27 00:30,26.141446,25.829138,25.645041,25.631891,
2019/08/27 00:45,25.990223,25.605592,25.585867,25.40177,
2019/08/27 01:00,25.947486,25.549705,25.359033,25.368895,
2019/08/27 01:15,25.993511,25.437932,25.378758,25.23411,
2019/08/27 01:30,25.87845,25.391907,25.38862,25.211098,
2019/08/27 01:45,25.638466,25.382045,25.276847,25.151924,
2019/08/27 02:00,25.750239,25.428069,25.431357,25.178223,
2019/08/27 02:15,25.69764,25.434644,25.033575,25.168361,
2019/08/27 02:30,25.506968,25.151924,24.902077,24.974401,
2019/08/27 02:45,25.546418,25.161786,25.013851,24.948102,
2019/08/27 03:00,25.789689,25.043438,24.875778,24.727843,
2019/08/27 03:15,25.618741,25.155211,24.92509,24.721268,
2019/08/27 03:30,25.38862,24.836328,24.560183,24.514158,
2019/08/27 03:45,25.480669,24.819891,24.678531,24.645656,
2019/08/27 04:00,25.349171,25.0533,24.310337,24.42211,
2019/08/27 04:15,25.178223,24.721268,24.556895,24.405673,
2019/08/27 04:30,25.168361,24.994126,24.445122,24.353073,
2019/08/27 04:45,25.082887,24.665381,24.645656,24.359648,
2019/08/27 05:00,25.138774,24.616069,24.362936,24.448409,
2019/08/27 05:15,25.099324,24.533883,24.303762,24.274175,
2019/08/27 05:30,24.88564,24.71798,24.445122,24.399098,
2019/08/27 05:45,24.238013,23.636409,23.899405,23.781057,
2019/08/27 06:00,23.77777,23.396426,23.103843,23.070968,
2019/08/27 06:15,23.524636,23.018369,23.084118,23.077543,
2019/08/27 06:30,23.689009,23.186029,23.136717,23.468749,
2019/08/27 06:45,24.238013,23.478612,23.76462,24.083503,
2019/08/27 07:00,24.418822,24.080215,24.566758,24.961252,
2019/08/27 07:15,24.593057,24.323486,25.635179,26.220345,
2019/08/27 07:30,24.639081,24.57662,26.568814,26.917284,
2019/08/27 07:45,25.266984,24.714693,27.262466,27.929818,
2019/08/27 08:00,25.329446,25.746952,28.136928,28.597171,
2019/08/27 08:15,25.862013,26.029673,28.547859,29.234936,
2019/08/27 08:30,26.236782,26.913997,29.185624,30.185009,
2019/08/27 08:45,27.157268,28.087616,29.954887,31.779422,
2019/08/27 09:00,27.752296,28.639908,30.734013,33.38041,
2019/08/27 09:15,28.758256,29.576831,31.056183,34.701964,
2019/08/27 09:30,29.46177,30.296782,31.565738,36.464037,
2019/08/27 09:45,29.787227,30.753738,32.410612,37.831616,
2019/08/27 10:00,29.981187,31.322466,32.953041,37.788879,
2019/08/27 10:15,30.602515,31.887908,33.143713,38.732378,
2019/08/27 10:30,31.233705,32.551972,33.837365,39.892847,
2019/08/27 10:45,32.095017,33.357398,34.156248,40.892232,
